Platform name, Total Gap Time, Average Gap Time, Min Value, Max Flight Time 
NIVM,368:14:14:48,52:15:44:58,-938,00:02:25:24
NIYV,356:00:20:07,35:14:26:00,-930,00:02:27:41
NJ,480:23:52:17,32:01:35:29,-794,00:02:40:40
NJA,291:10:08:04,48:13:41:20,-762,00:02:32:11
NJAD,405:09:00:01,45:01:00:00,-966,00:02:41:30
NJK,338:18:43:37,37:15:24:50,-990,00:02:20:12
NJWR,411:13:40:58,45:17:31:13,-966,00:02:30:57
NJY,428:10:51:53,107:02:42:58,-818,00:02:31:28
NJZ,475:18:40:00,79:07:06:40,-459,00:02:14:44
NK,523:02:58:32,24:21:51:21,-959,00:02:45:24
NKAL,507:07:27:08,42:06:37:15,-377,00:02:45:23
NKDY,410:06:52:38,58:14:41:48,-682,00:02:19:32
NKHI,512:13:31:27,73:05:21:38,-865,00:02:42:59
NKKK,473:07:51:41,94:15:58:20,-479,00:02:41:32
NKMP,520:03:37:09,57:19:04:07,-857,00:02:34:36
NKN,568:10:15:15,94:17:42:32,-645,00:02:46:25
NKW,302:19:44:41,43:06:14:57,-982,00:02:45:18
NKX,430:08:11:04,30:17:43:38,-753,00:02:46:18
NKXB,497:08:22:59,33:03:45:31,-935,00:02:44:06
NKY,536:01:45:15,44:16:08:46,-983,00:02:34:00
NKZL,532:11:05:35,76:01:35:05,-877,00:02:41:06
NL,553:02:43:26,07:11:23:17,-991,00:02:44:21
NLD,532:02:58:20,106:10:11:40,-191,00:02:07:41
NLDY,426:15:29:26,53:07:56:10,-842,00:02:38:57
NLHD,480:11:21:18,60:01:25:09,-847,00:02:36:45
NLLU,567:09:00:14,94:13:30:02,-178,00:02:33:28
NLR,411:11:54:31,41:03:35:27,-968,00:02:24:16
NLU,445:20:20:39,34:07:06:12,-976,00:02:33:52
NM,507:23:10:29,11:06:54:53,-973,00:02:38:32
NMF,396:06:37:59,99:01:39:29,-643,00:02:28:26
NMHO,545:02:18:17,49:13:18:01,-811,00:02:33:12
NMIQ,518:06:59:29,64:18:52:26,-114,00:02:35:30
NMK,422:10:00:45,70:09:40:07,-784,00:02:43:55
NMQ,481:14:30:16,43:18:46:23,-733,00:02:40:56
NMQM,517:18:14:52,86:07:02:28,-822,00:01:34:21
NMUD,523:12:06:38,104:16:49:19,-969,00:02:36:17
NMY,519:21:05:20,57:18:20:35,-959,00:02:16:29
NN,545:19:46:37,11:03:20:32,-960,00:02:46:04
NNB,498:08:32:08,62:07:04:01,-946,00:02:42:40
NNM,136:05:16:56,68:02:38:28,-704,00:01:55:44
NNO,256:15:38:10,51:07:55:38,-497,00:02:46:02
NNP,518:16:15:16,57:15:08:21,-984,00:02:30:36
NNTQ,496:10:35:02,41:08:52:55,-792,00:02:46:19
NNWY,456:04:16:00,45:14:49:36,-509,00:02:08:16
NNX,509:00:15:43,84:20:02:37,-793,00:02:01:20
NO,437:15:31:48,36:11:17:39,-862,00:02:46:08
NOB,440:19:59:40,33:21:50:44,-390,00:02:21:33
NOMN,528:20:04:06,66:02:30:30,-580,00:01:55:03
NOQD,467:07:18:43,46:17:31:52,-950,00:02:44:23
NORI,487:09:42:25,34:19:33:01,-975,00:02:41:13
NP,531:03:48:16,16:14:22:08,-996,00:02:44:54
NPB,496:06:29:33,165:10:09:51,-678,00:02:09:55
NPH,243:07:50:10,40:13:18:21,-993,00:02:41:52
NPIS,255:15:31:05,51:03:06:13,-905,00:02:16:42
NPSN,518:10:47:51,57:14:31:59,-669,00:02:35:50
NPT,550:21:38:41,55:02:09:52,-741,00:02:41:50
NQ,540:13:08:15,45:01:05:41,-760,00:02:39:57
NQMG,301:19:07:03,60:08:37:24,-653,00:02:40:50
NQON,494:11:33:23,35:07:40:57,-999,00:02:27:03
NQQP,554:06:43:52,50:09:20:21,-965,00:02:24:00
NQVJ,515:14:19:40,46:20:56:20,-822,00:02:41:58
NR,570:07:52:00,17:06:47:01,-840,00:02:46:28
NRD,545:17:08:27,60:15:14:16,-826,00:02:45:04
NRLO,555:07:08:13,46:06:35:41,-984,00:02:43:01
NRTB,204:05:13:00,51:01:18:15,-514,00:02:38:45
NS,535:00:28:42,13:01:10:56,-995,00:02:45:18
NSCC,532:07:10:59,40:22:42:23,-973,00:02:15:20
NSE,473:20:29:54,67:16:38:33,-959,00:02:39:14
NSEZ,297:19:11:29,29:18:43:08,-373,00:02:22:49
NSG,502:18:12:00,71:19:44:34,-961,00:02:41:12
NSH,543:04:25:21,77:14:20:45,-723,00:02:39:57
NSI,471:09:09:41,58:22:08:42,-959,00:02:29:47
NSM,470:08:58:50,36:04:22:59,-914,00:02:34:00
NSS,313:04:17:37,52:04:42:56,-747,00:02:36:39
NST,306:21:58:42,25:13:49:53,-805,00:02:40:39
NSWL,540:08:33:29,49:02:57:35,-971,00:02:19:43
NT,516:06:46:35,16:15:42:08,-886,00:02:46:02
NTAN,343:03:03:12,85:18:45:48,-796,00:02:36:04
NTAU,349:19:40:05,49:23:22:52,-998,00:02:41:18
NTC,365:20:50:06,91:11:12:31,-881,00:02:13:33
NTD,510:18:00:57,39:06:55:27,-769,00:02:27:22
NTDR,457:02:54:33,57:03:21:49,-115,00:02:42:24
NTM,414:12:52:08,31:21:17:51,-998,00:02:40:54
NTPI,497:11:14:17,49:17:55:25,-848,00:02:40:07
NTS,468:20:48:36,42:14:58:57,-978,00:02:44:03
NTU,361:03:31:22,72:05:30:16,-985,00:02:08:23
NTZ,351:13:23:33,58:14:13:55,-812,00:02:30:39
NU,564:00:55:22,23:12:02:18,-849,00:02:43:31
NUA,449:18:40:31,44:23:28:03,-954,00:01:57:42
NUCY,552:12:30:45,46:01:02:33,-738,00:02:46:27
NUF,529:10:17:49,27:20:45:08,-918,00:02:32:46
NUJ,489:17:04:43,23:07:40:13,-903,00:02:32:09
NUK,388:17:24:33,43:04:36:03,-758,00:02:44:31
NUL,487:23:54:20,60:23:59:17,-906,00:02:41:19
NUR,446:21:16:17,37:05:46:21,-991,00:02:45:05
NURI,470:03:29:51,67:03:55:41,-710,00:02:37:23
NUTJ,524:01:55:14,65:12:14:24,-918,00:02:27:40
NUZP,534:07:01:16,76:07:51:36,-971,00:02:36:28
NV,559:19:36:30,21:12:45:15,-970,00:02:43:23
NVIG,529:09:38:34,75:15:05:30,-827,00:02:10:25
NVMW,536:14:45:04,67:01:50:38,-624,00:02:25:21
NVN,316:14:16:10,31:15:49:37,-810,00:02:27:29
NVNA,479:05:18:23,59:21:39:47,-983,00:02:46:09
NVNW,491:21:30:52,49:04:33:05,-756,00:02:06:20
NVQT,427:01:04:28,38:19:44:02,-930,00:02:41:15
NVV,327:23:45:00,46:20:32:08,-899,00:01:58:39
NVZ,476:22:03:54,31:19:04:15,-850,00:02:45:20
NWEK,530:23:50:03,66:08:58:45,-907,00:02:42:11
NWHH,515:20:00:12,46:21:27:17,-880,00:02:41:33
NWKV,469:11:57:51,58:16:29:43,-935,00:02:12:18
NWKW,409:17:56:59,51:05:14:37,-771,00:02:40:31
NWSG,565:01:53:34,62:18:52:37,-879,00:02:14:49
NWVP,186:02:31:15,26:14:04:27,-907,00:02:41:48
NWY,438:00:45:40,48:16:05:04,-868,00:02:22:22
NX,549:13:47:48,11:05:10:46,-956,00:02:43:45
NXJ,399:04:08:54,57:00:35:33,-751,00:02:16:16
NXK,382:08:49:19,76:11:21:51,-675,00:02:24:55
NXM,475:12:04:19,52:20:00:28,-952,00:02:41:18
NXNG,529:21:55:35,58:21:06:10,-982,00:02:26:23
NXP,326:16:14:46,54:10:42:27,-758,00:02:31:13
NXQ,489:06:51:31,54:08:45:43,-594,00:02:32:48
NXYW,541:23:04:43,41:16:32:40,-970,00:02:22:36
NY,572:01:34:39,14:07:14:21,-815,00:02:44:05
NYAC,256:06:22:14,64:01:35:33,-382,00:02:04:03
NYHE,417:08:04:10,37:22:33:06,-838,00:02:29:09
NYIF,482:12:16:25,48:06:01:38,-676,00:02:45:27
NYOA,489:13:05:50,54:09:27:18,-906,00:02:42:44
NYPM,544:08:08:04,45:08:40:40,-919,00:02:31:21
NYPR,492:15:15:22,82:02:32:33,-450,00:02:03:14
NYQB,479:00:58:03,53:05:26:27,-810,00:02:45:22
NYRD,535:19:20:06,53:13:56:00,-955,00:02:37:59
NYSJ,501:10:01:48,71:15:08:49,-953,00:02:19:11
NZ,537:10:38:06,24:10:18:05,-861,00:02:46:32
NZF,556:17:47:49,79:12:49:41,-877,00:02:41:31
NZH,503:03:22:16,41:22:16:51,-979,00:02:31:56
NZIJ,469:13:46:30,42:16:31:30,-965,00:02:40:14
NZIY,409:12:01:19,58:12:00:11,-961,00:02:02:38
NZL,457:14:59:47,35:04:50:45,-634,00:02:45:04
NZLJ,503:18:32:30,83:23:05:25,-570,00:02:45:07
NZNI,449:19:04:58,29:23:40:19,-765,00:02:28:35
NZPM,565:14:43:45,47:03:13:38,-942,00:02:43:32
NZPW,291:20:34:00,72:23:08:30,-523,00:02:20:58
NZS,509:05:40:42,84:20:56:47,-981,00:02:24:15
NZT,545:12:53:47,54:13:17:22,-906,00:02:20:01
NZZ,539:23:04:09,53:23:54:24,-930,00:02:46:08
NZZL,519:01:27:15,43:06:07:16,-991,00:02:43:08
O,577:13:32:16,00:13:53:21,-999,00:02:46:24
OA,521:10:35:39,130:08:38:54,-990,00:02:29:11
OAB,547:03:42:15,39:01:58:43,-990,00:02:21:42
OAFF,410:21:53:12,68:11:38:52,-972,00:02:42:26
OAG,520:22:04:10,57:21:07:07,-856,00:02:45:57
OAI,479:14:09:55,95:22:01:59,-999,00:02:35:00
OAL,541:00:47:12,49:04:26:06,-767,00:02:43:35
OASH,515:09:39:51,51:12:57:59,-953,00:02:40:33
OAU,513:23:17:11,39:12:52:05,-983,00:02:32:42
OAUO,509:06:57:01,72:18:08:08,-787,00:02:43:04
OAVP,415:11:51:41,41:13:11:10,-844,00:02:37:25
OAZ,449:08:23:58,44:22:26:23,-998,00:02:46:28
OB,570:20:10:07,12:09:49:47,-986,00:02:43:27
OBC,546:04:42:27,54:14:52:14,-978,00:02:34:00
OBI,514:06:22:33,51:10:14:15,-847,00:02:21:43
OBK,554:16:26:17,61:15:09:35,-979,00:02:35:58
OBPB,560:01:12:57,62:05:28:06,-869,00:02:45:23
OBQR,485:02:44:18,44:02:25:50,-819,00:02:36:22
OBZV,532:09:08:43,44:08:45:43,-966,00:02:43:02
OC,574:17:20:21,09:17:47:07,-998,00:02:43:07
OCEP,471:08:44:21,117:20:11:05,-618,00:02:14:45
OCGD,432:06:20:50,54:00:47:36,-929,00:02:27:33
OCI,508:06:24:11,36:07:18:52,-876,00:02:41:51
OCJ,407:00:17:18,31:07:24:24,-961,00:02:43:23
OCLQ,360:18:30:31,32:19:08:13,-795,00:02:39:43
OCR,513:06:23:24,28:12:21:18,-849,00:02:45:44
OCVT,530:03:52:13,40:18:45:33,-818,00:02:43:04
OD,545:04:57:13,13:07:08:42,-978,00:02:44:55
ODCQ,499:12:48:24,62:10:36:03,-814,00:02:45:36
ODDH,541:00:50:51,67:15:06:21,-948,00:02:38:16
ODI,476:23:23:51,68:03:20:33,-852,00:02:38:50
ODJP,541:06:57:36,38:15:55:32,-979,00:02:28:45
ODKR,468:14:33:34,78:02:25:35,-870,00:01:58:22
OE,555:03:21:16,09:02:24:56,-999,00:02:45:38
OEG,548:11:00:59,49:20:38:16,-890,00:02:28:11
OEH,508:15:26:16,63:13:55:47,-751,00:02:38:57
OEJL,463:16:34:39,66:05:47:48,-949,00:02:32:05
OEK,363:16:31:36,45:11:03:57,-958,00:02:34:12
OES,398:22:38:32,44:07:50:56,-999,00:02:35:32
OETG,489:13:07:37,69:22:26:48,-877,00:02:45:49
OEU,395:04:12:14,65:20:42:02,-785,00:02:16:20
OF,547:17:04:44,21:01:34:47,-983,00:02:39:55
OFF,434:08:05:12,48:06:13:54,-471,00:02:39:08
OFKL,328:10:54:37,82:02:43:39,-119,00:02:37:33
OFLT,561:02:39:53,56:02:39:59,-788,00:02:22:25
OFR,418:15:46:08,46:12:25:07,-440,00:02:42:03
OFZV,484:00:07:59,53:18:40:53,-607,00:02:35:38
OG,556:09:22:50,08:23:22:37,-973,00:02:45:42
OGE,385:07:08:59,77:01:25:47,-486,00:02:37:24
OGEB,568:09:31:39,94:17:35:16,-957,00:01:55:00
OGES,480:06:59:31,30:00:26:13,-980,00:02:39:47
OGG,548:05:00:44,36:13:08:02,-977,00:02:45:05
OGK,460:14:25:24,46:01:26:32,-867,00:02:32:22
OGLD,320:21:29:25,40:02:41:10,-918,00:02:45:38
OGP,537:13:49:16,33:14:21:49,-995,00:02:21:12
OGSE,444:05:11:00,44:10:07:06,0,00:02:44:18
OGUX,273:05:38:54,30:08:37:39,-877,00:02:20:28
OGWH,338:22:50:37,56:11:48:26,-963,00:02:24:40
OH,520:16:40:13,14:21:02:51,-945,00:02:46:19
OHC,508:07:51:06,84:17:18:31,-858,00:02:26:02
OHCM,535:12:13:49,66:22:31:43,-603,00:02:44:41
OHFW,445:00:23:41,34:05:34:07,-833,00:02:35:52
OHI,513:10:07:49,32:02:07:59,-871,00:02:45:01
OHRM,485:07:50:41,60:15:58:50,-815,00:01:57:59
OHS,533:04:35:00,59:05:50:33,-278,00:02:37:13
OHT,531:09:04:10,53:03:18:25,-742,00:02:42:03
OHZB,527:08:02:35,87:21:20:25,-748,00:02:41:50
OI,541:01:48:39,21:15:25:56,-998,00:02:36:31
OIKO,475:16:12:39,67:22:53:14,-829,00:02:00:19
OIV,454:12:36:28,64:22:22:21,-654,00:02:26:23
OIY,484:03:35:46,69:03:56:32,-885,00:02:27:30
OIYO,451:08:06:22,45:03:12:38,-900,00:02:37:41
OJ,472:20:34:24,52:12:57:09,-965,00:01:57:53
OJGE,469:05:09:39,31:06:44:38,-893,00:02:46:17
OJJ,500:13:39:47,38:12:07:40,-907,00:02:26:22
OJX,504:17:33:26,56:01:57:02,-965,00:02:35:33
OJYM,567:19:53:53,81:02:50:33,-527,00:02:38:49
OK,558:10:36:25,18:00:20:31,-809,00:02:46:33
OKHN,552:18:40:53,50:06:03:43,-663,00:02:28:10
OKJL,416:08:46:38,52:01:05:49,-900,00:02:20:31
OKKS,470:18:23:30,52:07:22:36,-792,00:02:18:47
OL,541:06:37:36,07:20:16:11,-997,00:02:45:38
OLDE,483:05:35:50,60:09:41:58,-990,00:02:19:53
OLNL,470:04:21:35,67:04:03:05,-995,00:02:44:33
OLP,524:05:29:59,87:08:54:59,-686,00:02:44:25
OLRO,488:17:53:27,69:19:41:55,-813,00:02:23:45
OM,564:05:56:56,13:18:17:29,-989,00:02:42:44
OMC,550:22:46:49,50:02:04:15,-828,00:02:43:02
OMJ,267:13:51:15,29:17:32:21,-958,00:02:15:09
OMK,502:09:52:48,50:05:47:16,-911,00:02:44:21
OMKI,425:23:10:15,106:11:47:33,-913,00:02:23:01
OML,542:04:17:52,45:04:21:29,-955,00:02:34:40
OMO,532:22:47:24,48:10:47:56,-971,00:02:36:33
OMQU,541:19:10:48,45:03:35:54,-891,00:02:40:21
OMS,415:14:34:21,37:18:46:45,-964,00:02:45:41
OMX,545:14:11:46,36:08:56:47,-990,00:02:38:50
ON,574:17:05:08,15:02:58:33,-972,00:02:45:06
ONI,372:14:06:58,53:05:26:42,-968,00:02:38:46
ONKU,387:11:10:13,48:10:23:46,-388,00:02:33:38
ONQM,511:10:09:17,39:08:09:56,-838,00:02:35:58
ONRE,505:11:54:02,38:21:13:23,-961,00:02:29:29
ONS,533:21:56:12,17:19:07:52,-950,00:02:37:55
ONWU,550:03:52:04,42:07:40:55,-981,00:02:35:00
ONX,509:10:09:44,46:07:28:09,-680,00:02:42:16
ONYF,523:13:50:16,52:08:35:01,-862,00:02:44:30
ONYQ,520:03:21:53,40:00:15:31,-855,00:02:28:40
OO,547:05:01:53,19:13:02:12,-932,00:02:43:04
OOBX,524:00:56:30,40:07:27:25,-924,00:02:44:09
OODT,406:18:29:16,25:10:09:19,-675,00:02:43:21
OODV,503:05:12:22,71:21:18:54,-363,00:02:44:19
OOM,292:16:37:33,48:18:46:15,-854,00:02:34:21
OOQ,438:18:51:46,109:16:42:56,-935,00:02:08:34
OOT,390:00:55:21,48:18:06:55,-969,00:02:46:37
OOUL,401:21:38:26,44:15:44:16,-986,00:02:43:08
OP,519:23:00:52,21:15:57:32,-910,00:02:35:11
OPA,435:04:30:03,72:12:45:00,-924,00:01:37:28
OPCI,530:10:27:32,75:18:38:13,-578,00:02:03:56
OPEI,253:15:48:05,63:09:57:01,-887,00:02:10:04
OPFT,465:09:55:53,66:11:42:16,-551,00:02:01:21
OPOM,518:02:28:07,43:04:12:20,-803,00:02:46:07
OPP,443:20:06:32,40:08:22:24,-639,00:02:32:42
OPPT,455:21:36:44,75:23:36:07,-807,00:02:41:30
OPT,552:22:12:57,61:10:28:06,-677,00:01:54:21
OPZ,574:23:08:31,63:21:14:16,-991,00:02:31:50
OQ,565:00:00:13,14:20:50:31,-992,00:02:44:09
OQE,531:01:51:09,59:00:12:21,-941,00:02:44:28
OQFR,541:10:24:10,36:02:17:36,-845,00:02:43:03
OQJN,451:16:51:54,56:11:06:29,-940,00:02:29:17
OQL,508:02:41:18,33:20:58:45,-976,00:02:42:34
OQOO,410:08:44:25,41:00:52:26,-683,00:02:42:02
OQP,190:20:53:31,23:20:36:41,-837,00:02:31:42
OQT,525:17:32:37,58:09:56:57,-934,00:02:43:48
OR,543:20:15:02,19:10:09:06,-975,00:02:43:04
ORAQ,433:11:31:26,48:03:56:49,-666,00:02:28:17
ORC,516:18:41:56,73:19:48:50,-657,00:02:42:03
ORNU,403:21:59:03,50:11:44:52,-824,00:02:26:16
ORTI,416:11:08:51,59:11:52:41,-595,00:02:37:05
ORTV,288:15:58:37,96:05:19:32,-544,00:02:29:14
OS,543:06:54:58,22:15:17:17,-968,00:02:45:31
OSAX,474:06:10:23,39:12:30:51,-880,00:02:46:25
OSBP,454:05:42:25,34:22:35:34,-949,00:02:46:39
OSBY,439:12:10:12,39:22:55:28,-627,00:02:45:54
OSC,527:12:27:38,40:13:52:53,-935,00:02:24:58
OSJB,362:21:21:38,40:07:42:24,-826,00:02:46:34
OSJI,382:15:37:03,63:18:36:10,-765,00:02:44:48
OSOG,456:13:45:43,41:12:09:36,-984,00:02:44:00
OSV,337:16:07:36,48:05:43:56,-970,00:02:42:47
OSW,542:04:00:16,77:10:51:28,-655,00:02:38:22
OT,554:21:05:58,13:20:55:38,-923,00:02:44:20
OTBT,437:20:00:19,43:18:48:01,-996,00:02:29:56
OTL,490:22:41:53,122:17:40:28,-874,00:02:39:41
OTS,410:23:24:17,37:08:40:23,-887,00:02:34:57
OU,568:19:44:50,17:05:41:21,-957,00:02:45:47
OULX,493:23:34:31,49:09:33:27,-913,00:02:44:40
OUM,484:11:59:57,32:07:11:59,-997,00:02:32:40
OV,527:14:42:47,18:04:38:43,-905,00:02:30:06
OVA,383:02:11:30,76:14:50:18,-758,00:01:21:26
OVD,467:17:02:25,42:12:27:29,-875,00:02:31:58
OVH,476:13:46:48,34:00:59:03,-993,00:02:39:58
OVLR,427:06:36:47,61:00:56:41,-399,00:02:36:51
OVPE,510:17:49:34,51:01:46:57,-951,00:02:44:25
OVTD,503:07:33:32,71:21:39:04,-221,00:02:42:28
OVVZ,478:12:13:03,53:04:01:27,-706,00:02:25:33
OVWF,459:07:23:19,41:18:07:34,-966,00:02:21:23
OW,558:07:40:59,09:23:16:48,-985,00:02:43:59
OWBH,245:00:32:13,61:06:08:03,-708,00:01:32:15
OWIU,499:18:59:59,41:15:34:59,-770,00:02:46:21
OWJ,487:17:54:13,44:08:10:23,-992,00:02:35:04
OWOO,535:10:53:51,44:14:54:29,-862,00:02:36:36
OWR,541:04:57:41,33:19:48:36,-645,00:02:45:23
OWRB,420:14:25:16,46:17:36:08,-915,00:02:43:23
OWTE,514:23:31:53,34:07:58:07,-910,00:02:45:09
OWYD,562:20:09:07,40:04:52:04,-996,00:02:44:48
OXCR,285:03:57:07,95:01:19:02,0,00:01:29:11
OXGQ,525:19:40:13,43:19:38:21,-990,00:02:39:09
OXJ,532:04:08:37,38:00:17:45,-831,00:02:38:28
OXK,543:17:05:58,77:16:09:25,-594,00:02:38:46
OXQA,453:07:07:53,113:07:46:58,-969,00:02:26:36
OXRL,539:17:38:49,49:01:36:15,-972,00:02:41:09
OXYF,506:16:26:49,50:16:02:40,-980,00:02:40:58
OY,553:06:21:06,19:18:13:36,-909,00:02:43:28
OYCS,535:01:23:15,59:10:49:15,-853,00:02:31:41
OYDC,507:00:19:41,72:10:19:57,-904,00:02:31:14
OYJC,455:00:21:48,56:21:02:43,-726,00:01:55:12
OYPL,440:19:03:00,44:01:54:18,-996,00:02:46:33
OYXI,543:23:28:10,60:10:36:27,-905,00:02:38:12
OYZM,508:06:04:08,72:14:34:52,-715,00:02:27:46
OZ,529:01:28:20,11:06:09:32,-983,00:02:46:03
OZB,560:18:42:26,43:03:17:06,-797,00:02:31:06
OZE,540:16:41:39,49:03:41:58,-909,00:02:31:00
OZK,332:13:55:17,41:13:44:24,-62,00:02:41:14
OZW,545:09:35:18,49:13:57:45,-989,00:02:20:24
OZYD,488:00:02:41,54:05:20:17,-728,00:02:36:44
P,578:13:57:52,00:13:36:01,-1000,00:02:46:18
PA,515:09:15:06,42:22:46:15,-917,00:02:38:58
PAIR,331:18:47:04,41:11:20:53,-485,00:02:35:07
PAM,295:19:34:54,147:21:47:27,-651,00:00:45:51
PANH,402:14:51:52,44:17:39:05,-971,00:02:11:40
PAP,420:03:00:52,60:00:25:50,-936,00:02:35:12
PAPR,410:14:46:28,41:01:28:38,-982,00:02:22:43
PAPX,485:12:03:01,40:11:00:15,-893,00:02:45:55
PAU,435:18:28:02,39:14:46:11,-657,00:02:40:28
PAVW,504:07:43:24,42:00:38:37,-839,00:02:15:53
PAXU,381:17:02:07,47:17:07:45,-720,00:02:32:42
PB,574:13:52:21,08:10:47:32,-976,00:02:43:34
PBAQ,528:21:06:44,66:02:38:20,-857,00:02:19:11
PBC,379:03:07:48,54:03:52:32,-757,00:02:23:05
PBDX,440:22:20:19,55:02:47:32,-984,00:02:38:18
PBF,533:14:31:19,44:11:12:36,-989,00:02:20:59
PBG,399:01:47:33,44:08:11:57,-664,00:02:33:17
PBRZ,521:09:04:48,32:14:04:03,-918,00:02:43:05
PBX,425:10:43:43,53:04:20:27,-838,00:02:40:39
PC,550:22:26:58,21:04:33:20,-932,00:02:37:27
PCCD,328:14:12:44,46:22:36:06,-714,00:02:24:09
PCID,435:18:57:51,43:13:53:47,-967,00:02:24:46
PCLF,470:07:45:49,47:00:46:34,-500,00:02:39:31
PCOB,559:12:01:47,111:21:36:21,-994,00:02:45:08
PCR,515:15:39:56,64:10:57:29,-708,00:02:29:07
PCSE,376:02:21:40,31:08:11:48,-935,00:02:38:11
PCTF,217:08:55:44,43:11:23:08,-908,00:02:34:49
PCX,505:16:08:10,56:04:27:34,-788,00:02:26:56
PCZ,480:04:15:46,96:00:51:09,-865,00:02:42:52
PCZM,561:01:06:21,70:03:08:17,-859,00:02:13:36
PD,431:07:46:09,53:21:58:16,-775,00:02:33:55
PDCT,426:15:31:43,53:07:56:27,-559,00:02:22:04
PDE,467:18:29:54,19:11:46:14,-919,00:02:43:02
PDHZ,541:14:20:55,45:03:11:44,-827,00:02:38:30
PDM,350:02:05:07,31:19:49:33,-977,00:02:35:22
PE,540:22:22:07,22:12:55:55,-847,00:02:42:23
PEFW,528:09:03:56,37:17:47:25,-938,00:02:31:22
PEGN,570:11:41:02,57:01:10:06,-749,00:02:41:02
PEIZ,503:20:34:31,29:15:19:40,-982,00:02:42:40
PEJ,549:16:54:13,39:06:21:00,-930,00:02:24:40
PET,512:02:14:42,36:13:52:28,-993,00:02:29:14
PETN,486:11:33:50,34:17:58:07,-966,00:02:42:48
PEY,450:00:46:36,45:00:04:39,-961,00:02:34:54
PF,518:13:54:21,21:14:34:45,-972,00:02:41:17
PFBU,13:23:09:43,13:23:09:43,-27,00:01:08:00
PFEH,483:07:34:21,48:07:57:26,-83,00:02:13:27
PFHP,438:19:38:01,54:20:27:15,-840,00:02:19:00
PFI,394:02:24:06,56:07:12:00,-979,00:02:19:52
PFOP,488:10:49:54,61:01:21:14,-886,00:02:40:30
PG,464:12:16:17,25:19:20:54,-954,00:02:45:09
PGA,544:23:50:41,25:22:50:59,-986,00:02:45:28
PGC,552:18:07:50,61:10:00:52,-789,00:02:41:30
PGF,403:17:44:54,57:16:14:59,-609,00:01:56:44
PGH,359:02:19:48,51:07:11:24,-935,00:02:10:26
PGN,368:13:33:48,61:10:15:38,-811,00:02:37:34
PGV,543:20:48:49,41:20:03:45,-849,00:02:35:05
PGWL,507:06:25:50,50:17:26:35,-959,00:02:38:19
PGXS,408:05:41:12,45:08:37:54,-848,00:02:43:03
PH,499:10:05:49,35:16:08:59,-988,00:02:31:23
PHF,399:12:33:59,44:09:23:46,-964,00:02:46:18
PHGR,518:12:03:47,64:19:30:28,-696,00:02:45:05
PHKG,307:14:12:22,51:06:22:03,-442,00:02:33:44
PHML,480:19:19:05,80:03:13:10,-992,00:02:28:31
PHMX,519:22:02:24,57:18:26:56,-742,00:02:09:49
PHN,366:02:46:47,52:07:15:15,-814,00:02:24:10
PHOR,503:22:06:32,45:19:27:52,-856,00:02:44:27
PHOT,505:20:36:46,50:14:03:40,-494,00:02:42:23
PHR,374:22:04:47,34:02:00:26,-877,00:02:40:32
PHSL,516:11:58:09,34:10:23:52,-899,00:02:15:20
PHTG,555:21:50:38,61:18:25:37,-471,00:02:15:44
PHWT,550:02:23:57,45:20:11:59,-808,00:02:39:25
PHZR,352:09:35:02,117:11:11:40,-279,00:02:46:23
PI,557:03:52:36,13:06:22:40,-991,00:02:36:26
PIA,557:17:50:36,37:04:23:22,-837,00:02:45:39
PIAU,472:06:13:43,47:05:25:22,-1000,00:02:32:06
PIF,435:16:47:51,39:14:37:04,-752,00:02:33:09
PIGM,560:17:01:46,46:17:25:08,-885,00:02:20:03
PIKC,535:02:33:19,41:03:53:19,-910,00:02:39:10
PIL,253:01:25:36,50:14:41:07,-805,00:02:38:04
PIM,380:06:25:32,47:12:48:11,-847,00:02:28:26
PIO,421:08:27:51,38:07:18:53,-685,00:02:41:20
PIR,508:13:17:21,50:20:31:44,-960,00:02:38:06
PIYR,141:21:51:33,35:11:27:53,-953,00:02:34:35
PJ,572:11:28:57,28:14:58:26,-998,00:02:46:39
PJF,475:02:43:05,59:09:20:23,-919,00:02:34:11
PJG,548:12:11:49,39:04:17:59,-981,00:02:40:05
PJJZ,422:11:58:55,35:04:59:54,-995,00:02:22:36
PJLN,556:11:55:57,79:11:59:25,-608,00:02:39:25
PJM,451:23:15:32,50:05:15:03,-923,00:02:24:48
PJS,423:19:38:02,32:14:26:00,-936,00:02:45:04
PK,575:17:23:26,10:11:13:31,-961,00:02:43:13
PKAI,410:01:30:59,58:13:55:51,-839,00:02:45:10
PKAV,446:17:20:47,89:08:16:09,-936,00:02:22:28
PKFC,507:12:58:11,72:12:08:18,-311,00:02:06:43
PKFU,371:03:34:51,37:02:45:29,-546,00:02:30:18
PKGP,466:07:36:18,42:09:25:07,-779,00:02:42:30
PKL,452:22:25:17,41:04:13:12,-886,00:02:38:56
PKND,366:21:32:17,45:20:41:32,-364,00:02:44:46
PKNE,562:16:26:05,70:08:03:15,-897,00:02:19:01
PKP,529:09:46:56,48:03:04:16,-807,00:02:30:20
PKS,436:00:00:28,36:08:00:02,-769,00:02:38:58
PKSZ,403:02:15:32,67:04:22:35,-854,00:02:42:48
PKZW,555:15:45:16,50:12:20:28,-983,00:02:31:08
PL,560:13:38:18,32:23:23:25,-832,00:02:46:17
PLB,557:19:26:40,21:10:54:06,-900,00:02:46:03
